City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Dwarka,IN,70.0,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
1,Punta Arenas,CL,62.6,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
3,Mar Del Plata,AR,64.4,moderate rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
7,Mataura,NZ,52.43,overcast clouds,-46.1927,168.8643,Ellie's Villa
8,Gelemso,ET,63.93,few clouds,8.8167,40.5167,Kerod Hotel
10,Hilo,US,64.4,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
13,Ushuaia,AR,59.0,clear sky,-54.8,-68.3,Albatros Hotel
19,Port Lincoln,AU,59.5,few clouds,-34.7333,135.8667,Port Lincoln Hotel
20,Busselton,AU,63.0,overcast clouds,-33.65,115.3333,Observatory Guest House
26,Kapaa,US,60.8,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
29,Ribeira Grande,PT,64.4,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
30,Hermanus,ZA,70.0,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
33,Kemise,ET,63.82,broken clouds,10.7167,39.8667,Chefa Valley Hotel
37,Mount Gambier,AU,55.4,overcast clouds,-37.8333,140.7667,Commodore on the Park
38,Dong Hoi,VN,68.81,scattered clouds,17.4833,106.6,Nam Long Hotel
40,Lebu,CL,64.09,broken clouds,-37.6167,-73.65,Hostal Las Lilas
41,Burnie,AU,55.99,broken clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
42,Hobart,AU,55.4,overcast clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
52,East London,ZA,73.4,few clouds,-33.0153,27.9116,Tu Casa
53,Sabzevar,IR,55.4,few clouds,36.2126,57.6819,پارکینگ وسایل سنگین جنوب
58,Bredasdorp,ZA,69.8,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
59,Bluff,NZ,54.34,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
68,Tuatapere,NZ,53.65,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
75,Castro,BR,73.99,clear sky,-24.7911,-50.0119,CHACARA BAILLY
79,New Norfolk,AU,55.4,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
81,Coquimbo,CL,68.0,scattered clouds,-29.9533,-71.3436,Hotel San Juan
93,Codrington,AU,56.39,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
94,Lagoa,PT,58.12,overcast clouds,39.05,-27.9833,Casa Das Faias
95,Vila Franca Do Campo,PT,60.8,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
101,Port Alfred,ZA,68.0,light rain,-33.5906,26.891,The Halyards Hotel
106,Lom Sak,TH,74.93,clear sky,16.7798,101.2422,บ้านวรฉัตร หล่มสัก
120,Pacific Grove,US,46.0,clear sky,36.6177,-121.9166,Lovers Point Inn
122,Anuradhapura,LK,72.63,broken clouds,8.3565,80.4173,Nilketha Villa Eco Hotel
127,Pasca,CO,66.2,broken clouds,4.3072,-74.3006,Finca el Descanso
130,Rabo De Peixe,PT,60.8,broken clouds,37.8,-25.5833,Quinta das Giestas
138,Ponta Do Sol,PT,61.0,overcast clouds,32.6667,-17.1,Hotel do Campo
139,Aguimes,ES,66.2,broken clouds,27.9054,-15.4461,Hotel Villa de Aguimes
142,Limanu,RO,45.0,light intensity drizzle,43.8,28.5333,Mellys Haus
144,Pacifica,US,52.0,mist,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
145,Cape Town,ZA,71.6,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
154,Sao Filipe,CV,71.33,broken clouds,14.8961,-24.4956,Tortuga B&B
156,Dunedin,NZ,57.99,scattered clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
157,Keskin,TR,49.69,broken clouds,39.6731,33.6136,Keskin İlçe Müftülüğü İrşat Evi
159,Geraldton,AU,69.8,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
164,Viedma,AR,66.0,broken clouds,-40.8135,-62.9967,Hotel Cristal
165,Chardara,KZ,54.73,overcast clouds,41.2547,67.9692,Жанаргул
173,Cascais,PT,57.99,broken clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
175,Luau,AO,73.42,light rain,-10.7073,22.2247,Kimbo Hotel
178,Taltal,CL,69.58,few clouds,-25.4,-70.4833,Residencial Karime
179,La Rioja,ES,50.0,broken clouds,42.25,-2.5,Casa Concejos
180,Kruisfontein,ZA,68.0,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
182,Airai,TL,61.23,overcast clouds,-8.9266,125.4092,Juvinal Martin
