City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dwarka,IN,22.2394,68.9678,70.0,61,0,12.5,clear sky
1,Punta Arenas,CL,-53.15,-70.9167,62.6,34,0,12.66,clear sky
2,Pangoa,PE,-12.1167,-73.0,77.18,89,100,1.52,overcast clouds
3,Mar Del Plata,AR,-38.0023,-57.5575,64.4,82,90,8.05,moderate rain
4,Noumea,NC,-22.2763,166.4572,78.01,94,0,2.3,clear sky
5,Honningsvag,NO,70.9821,25.9704,28.4,69,75,24.16,light snow
6,Buin,CL,-33.7333,-70.75,77.0,72,75,2.3,haze
7,Mataura,NZ,-46.1927,168.8643,52.43,88,99,1.88,overcast clouds
8,Gelemso,ET,8.8167,40.5167,63.93,66,24,8.1,few clouds
9,Cherskiy,RU,68.75,161.3,-3.42,73,59,1.86,broken clouds
10,Hilo,US,19.7297,-155.09,64.4,59,20,8.05,few clouds
11,Carnarvon,AU,-24.8667,113.6333,78.8,100,11,12.66,few clouds
12,Raudeberg,NO,61.9875,5.1352,28.4,43,0,10.36,clear sky
13,Ushuaia,AR,-54.8,-68.3,59.0,55,0,13.8,clear sky
14,Albany,US,42.6001,-73.9662,25.0,75,100,5.53,snow
15,Impfondo,CG,1.6381,18.0667,91.67,39,47,1.36,scattered clouds
16,Biu,NG,10.6129,12.1946,90.63,11,96,4.45,overcast clouds
17,Jamestown,US,42.097,-79.2353,21.0,86,90,9.22,light snow
18,Sokolo,ML,14.7328,-6.1219,84.6,14,100,16.58,overcast clouds
19,Port Lincoln,AU,-34.7333,135.8667,59.5,80,14,16.46,few clouds
20,Busselton,AU,-33.65,115.3333,63.0,98,100,1.01,overcast clouds
21,High Level,CA,58.5169,-117.136,-40.0,67,40,3.27,fog
22,Aranos,NA,-24.1333,19.1167,90.41,23,36,17.52,scattered clouds
23,Bathsheba,BB,13.2167,-59.5167,84.2,58,40,23.02,scattered clouds
24,Bali,ID,-8.5,115.0,77.0,94,20,3.44,few clouds
25,Thompson,CA,55.7435,-97.8558,-36.4,67,75,13.8,snow
26,Kapaa,US,22.0752,-159.319,60.8,72,1,11.5,clear sky
27,Marovoay,MG,-16.1,46.6333,80.6,83,40,6.91,moderate rain
28,Nanpiao,CN,41.0982,120.7479,16.47,76,0,2.51,clear sky
29,Ribeira Grande,PT,38.5167,-28.7,64.4,68,40,19.57,scattered clouds
30,Hermanus,ZA,-34.4187,19.2345,70.0,67,57,3.0,broken clouds
31,Clyde River,CA,70.4692,-68.5914,-4.0,84,1,6.91,clear sky
32,Holme,DK,56.1138,10.1725,28.4,80,40,17.27,scattered clouds
33,Kemise,ET,10.7167,39.8667,63.82,68,79,4.61,broken clouds
34,Omsukchan,RU,62.5333,155.8,2.35,86,100,13.2,overcast clouds
35,Beloha,MG,-25.1667,45.05,78.85,75,29,11.36,scattered clouds
36,Butaritari,KI,3.0707,172.7902,80.58,81,28,17.31,scattered clouds
37,Mount Gambier,AU,-37.8333,140.7667,55.4,71,90,6.91,overcast clouds
